(iter 10) FAPbClClI_THTO_0 = 31.0856, sampling CsPbClClCl_THTO_0. Recommendation = FAPbClClI_THTO_0, Current Cost = 270.00, Rho = -1.230
(iter 10) CsPbClClCl_THTO_0 = 36.7880, sampling CsPbClClI_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 297.00, Rho = -1.230
(iter 10) CsPbClClCl_THTO_0 = 36.7880, sampling CsPbBrBrCl_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 324.00, Rho = -1.230
(iter 12) CsPbBrBrCl_THTO_0 = 38.0885, sampling CsPbBrBrBr_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 351.00, Rho = -1.230
(iter 12) CsPbBrBrCl_THTO_0 = 38.0885, sampling CsPbBrClCl_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 378.00, Rho = -1.230
(iter 12) CsPbBrBrCl_THTO_0 = 38.0885, sampling CsPbBrBrI_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 405.00, Rho = -1.230
(iter 12) CsPbBrBrCl_THTO_0 = 38.0885, sampling FAPbBrBrCl_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 432.00, Rho = -1.230
(iter 12) CsPbBrBrCl_THTO_0 = 38.0885, sampling CsPbBrClI_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 459.00, Rho = -1.230
(iter 17) CsPbBrClI_THTO_0 = 39.1771, sampling CsPbBrII_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 486.00, Rho = -1.230
(iter 17) CsPbBrClI_THTO_0 = 39.1771, sampling CsPbClII_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 513.00, Rho = -1.230
(iter 17) CsPbBrClI_THTO_0 = 39.1771, sampling FAPbBrBrBr_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 540.00, Rho = -1.230
(iter 17) CsPbBrClI_THTO_0 = 39.1771, sampling MAPbBrBrBr_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 567.00, Rho = -1.230
(iter 17) CsPbBrClI_THTO_0 = 39.1771, sampling MAPbBrBrCl_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 594.00, Rho = -1.230
(iter 17) CsPbBrClI_THTO_0 = 39.1771, sampling MAPbBrBrI_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 621.00, Rho = -1.230
(iter 23) MAPbBrBrI_THTO_0 = 42.6589, sampling MAPbBrClI_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 648.00, Rho = -1.230
