(iter 10) FAPbIII_THTO_0 = 35.9208, sampling MAPbClII_THTO_0. Recommendation = MAPbClII_THTO_0, Current Cost = 270.00, Rho = -1.230
(iter 10) MAPbClII_THTO_0 = 37.7521, sampling CsPbClII_THTO_0. Recommendation = CsPbClII_THTO_0, Current Cost = 297.00, Rho = -1.230
(iter 10) MAPbClII_THTO_0 = 37.7521, sampling MAPbClII_NMP_0. Recommendation = MAPbClII_NMP_0, Current Cost = 324.00, Rho = -1.230
(iter 10) MAPbClII_THTO_0 = 37.7521, sampling MAPbBrBrCl_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 351.00, Rho = -1.230
(iter 10) MAPbClII_THTO_0 = 37.7521, sampling FAPbBrBrI_THTO_0. Recommendation = FAPbBrBrI_THTO_0, Current Cost = 378.00, Rho = -1.230
(iter 10) MAPbClII_THTO_0 = 37.7521, sampling MAPbClClI_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 405.00, Rho = -1.230
(iter 15) MAPbClClI_THTO_0 = 39.2486, sampling MAPbClClCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 432.00, Rho = -1.230
(iter 15) MAPbClClI_THTO_0 = 39.2486, sampling MAPbIII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 459.00, Rho = -1.230
(iter 17) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 486.00, Rho = -1.230
(iter 17) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 513.00, Rho = -1.230
(iter 17) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 540.00, Rho = -1.230
(iter 20) MAPbBrBrI_THTO_0 = 42.6589, sampling CsPbBrBrI_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 567.00, Rho = -1.230
