(iter 20) MAPbBrClI_THTO_0 = 35.2398, sampling MAPbBrII_THTO_0. Recommendation = MAPbBrClI_THTO_0, Current Cost = 410.00, Rho = 0.466
(iter 20) MAPbBrII_THTO_0 = 38.5434, sampling MAPbIII_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 437.00, Rho = 0.466
(iter 21) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 464.00, Rho = 0.466
(iter 21) MAPbIII_THTO_0 = 41.7684, sampling MAPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 491.00, Rho = 0.466
(iter 21) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 518.00, Rho = 0.466
(iter 21) MAPbIII_THTO_0 = 41.7684, sampling CsPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 545.00, Rho = 0.466
(iter 21) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 572.00, Rho = 0.466
(iter 21) MAPbIII_THTO_0 = 41.7684, sampling FAPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 599.00, Rho = 0.466
(iter 21) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 626.00, Rho = 0.466
(iter 21) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 653.00, Rho = 0.466
(iter 29) MAPbBrBrI_THTO_0 = 42.6589, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 680.00, Rho = 0.466
